Date;Open;High;Low;Close;Adj Close;Volume;GV;GG;KG
24.08.2020;153220001;153580002;151839996;152339996;150783722;19600;-1;1740006;880005
25.08.2020;153110001;153110001;151059998;152350006;150793625;14200;-1;2050003;759995
26.08.2020;151289993;152960007;151289993;152500000;150942093;22900;1;1670014;1210007
27.08.2020;151899994;151940002;150380005;150970001;149427719;20400;-1;1559997;929993
28.08.2020;150580002;151130005;149229996;151089996;149546494;17400;1;1900009;509994
31.08.2020;154130005;154130005;150800003;152880005;151318207;24400;-1;3330002;1250000
01.09.2020;150199997;152289993;150199997;151589996;150041382;29300;1;2089996;1389999
02.09.2020;156699997;159139999;156050003;157919998;156306717;97400;1;3089996;1220001
03.09.2020;160949997;162960007;155960007;156570007;154970520;48900;-1;7000000;4379990
04.09.2020;157729996;157729996;153399994;156399994;154802246;121500;-1;4330002;1330002
08.09.2020;151070007;154300003;151070007;152509995;150951981;14800;1;3229996;1439988
09.09.2020;155559998;158979996;155279999;157580002;155970200;35800;1;3699997;2020004
10.09.2020;161589996;162660004;159050003;159440002;157811188;22600;-1;3610001;2149994
11.09.2020;161110001;162350006;160509995;161309998;159662079;20500;1;1840011;199997
14.09.2020;163850006;164270004;163020004;164080002;162403793;19400;1;1250000;229996
15.09.2020;164750000;165699997;164440002;165110001;163423264;12300;1;1259995;360001
16.09.2020;168210007;168210007;165770004;166220001;164521927;23600;-1;2440003;1990006
17.09.2020;163100006;166119995;163100006;165750000;164056732;14900;1;3019989;2649994
18.09.2020;166449997;166740005;164750000;165960007;164264587;17000;-1;1990005;489990
21.09.2020;160559998;160699997;158330002;160699997;159058319;18000;1;2369995;139999
22.09.2020;159119995;160559998;158880005;160559998;158919739;20100;1;1679993;1440003
23.09.2020;167800003;167800003;163710007;164419998;162740311;24700;-1;4089996;3380005
24.09.2020;163990005;163990005;161039993;162750000;161087372;18700;-1;2950012;1240005
25.09.2020;160229996;163509995;160229996;163509995;161839600;24500;1;3279999;3279999
28.09.2020;165970001;166250000;165080002;165210007;163522247;22000;-1;1169998;759994
29.09.2020;164970001;165800003;164100006;165470001;163779587;19100;1;1699997;500000
30.09.2020;163470001;163470001;161699997;163130005;161463501;19500;-1;1770004;339996
01.10.2020;165169998;165169998;163020004;164059998;162383987;54700;-1;2149994;1110000
02.10.2020;160850006;163240005;160850006;163050003;161384308;19000;1;2389999;2199997
05.10.2020;162550003;162639999;160350006;162320007;160661774;22300;-1;2289993;229996
06.10.2020;163139999;163759995;160929993;161119995;159474030;21900;-1;2830002;2020004
07.10.2020;165190002;165190002;162929993;164110001;162433487;10300;-1;2260009;1080001
08.10.2020;163570007;164039993;162649994;163690002;162017776;17000;1;1389999;119995
09.10.2020;167979996;167979996;166389999;167020004;165313751;11400;-1;1589997;959992
12.10.2020;167570007;169869995;167570007;168940002;167214142;10300;1;2299988;1369995
13.10.2020;167600006;168660004;166979996;168080002;166362930;19800;1;1680008;479996
14.10.2020;167899994;168600006;166619995;166740005;165036621;21700;-1;1980011;1159989
15.10.2020;161580002;163470001;161580002;162750000;161087372;33700;1;1889999;1169998
16.10.2020;168369995;168369995;166059998;166250000;164551620;24100;-1;2309997;2119995
19.10.2020;167580002;168000000;165399994;165399994;163710297;15500;-1;2600006;2180008
20.10.2020;167039993;167919998;165970001;167179993;165472107;18800;1;1949997;140000
21.10.2020;164380005;165220001;162660004;162990005;161324936;35300;-1;2559997;1390000
22.10.2020;165960007;167770004;165559998;166929993;165224670;34300;1;2210006;969986
23.10.2020;166800003;167729996;166339996;167669998;165957108;16600;1;1390000;869995
26.10.2020;163889999;165009995;160240005;161949997;160295547;22000;-1;4769990;1940002
27.10.2020;161389999;161899994;160119995;160429993;158791061;19500;-1;1779999;960006
28.10.2020;153789993;153789993;149429993;150100006;148566605;30700;-1;4360000;3689987
29.10.2020;153139999;153139999;150529999;151990005;150437302;40100;-1;2610000;1149994
30.10.2020;149750000;150500000;147880005;148610001;147091827;25000;-1;2619995;1139999
02.11.2020;151070007;151820007;150000000;151000000;149457413;25100;-1;1820007;70007
03.11.2020;155470001;158369995;155470001;157679993;156069168;25100;1;2899994;2209992
04.11.2020;155309998;158770004;154580002;157119995;155514893;26800;1;4190002;1809997
05.11.2020;162580002;163559998;161949997;163070007;161404114;72700;1;1610001;490005
06.11.2020;165630005;165630005;163869995;165410004;163720200;20900;-1;1760010;220001
09.11.2020;180919998;181559998;175089996;175369995;173578445;30100;-1;6470002;5550003
10.11.2020;165830002;168559998;163729996;166889999;165185074;22700;1;4830002;1059997
11.11.2020;165419998;165699997;163479996;165470001;163779587;22200;1;2220001;50003
12.11.2020;162500000;163520004;160210007;160770004;159127609;42500;-1;3309997;1729996
13.11.2020;159589996;160669998;159360001;160669998;159028625;35300;1;1309997;1080002
16.11.2020;164850006;164979996;162270004;162839996;161176453;19500;-1;2709992;2010010
17.11.2020;163350006;165860001;163350006;165429993;163739990;46900;1;2509995;2079987
18.11.2020;167830002;170419998;167259995;167259995;165551300;24300;-1;3160003;570007
19.11.2020;166460007;168610001;166460007;168589996;166867706;44700;1;2149994;2129989
20.11.2020;167570007;167570007;166070007;166990005;165284073;27500;-1;1500000;580002
23.11.2020;167080002;168470001;166029999;167020004;165313751;25700;-1;2440002;59998
24.11.2020;166619995;166899994;165429993;166449997;164749573;23900;-1;1470001;169998
25.11.2020;163789993;163789993;162529999;163539993;161869293;20700;-1;1259994;250000
27.11.2020;163300003;164419998;162500000;162690002;161027985;22300;-1;1919998;610001
30.11.2020;164429993;164429993;159449997;160100006;158464447;26900;-1;4979996;4329987
01.12.2020;162360001;165800003;162360001;164979996;163294586;19100;1;3440002;2619995
02.12.2020;163130005;164039993;162000000;162789993;161126953;20000;-1;2039993;340012
03.12.2020;167539993;167899994;165600006;166990005;165284073;24600;-1;2299988;549988
04.12.2020;168039993;168089996;166119995;167360001;165650284;29900;-1;1970001;679992
07.12.2020;169149994;170440002;168300003;169679993;167946579;27600;1;2139999;529999
08.12.2020;169759995;171130005;169759995;170100006;168362289;25700;1;1370010;340011
09.12.2020;171990005;172460007;171059998;171389999;169639114;38300;-1;1400009;600006
10.12.2020;174889999;175610001;173820007;174830002;173043976;17400;-1;1789994;59997
11.12.2020;171550003;172539993;171080002;172460007;170698181;18100;1;1459991;910004
14.12.2020;174949997;175740005;174399994;174399994;172618362;22600;-1;1340011;550003
15.12.2020;175750000;177470001;175570007;177059998;175251190;18700;1;1899994;1309998
16.12.2020;175440002;178210007;175440002;177020004;175211594;18000;1;2770005;1580002
17.12.2020;181649994;182479996;180899994;181050003;179200424;19100;-1;1580002;599991
18.12.2020;179520004;179520004;177110001;178460007;176636887;32100;-1;2410003;1059997
21.12.2020;176649994;178399994;173660004;177610001;175795563;32900;1;4739990;960007
22.12.2020;177839996;179059998;176880005;178630005;176805161;33400;1;2179993;790009
23.12.2020;179250000;179729996;178320007;179279999;177448502;18300;1;1409989;29999
24.12.2020;178009995;180589996;178009995;180419998;178576859;13200;1;2580001;2410003
28.12.2020;182000000;182690002;181789993;182570007;180704910;18400;1;900009;570007
29.12.2020;184839996;184839996;182570007;183339996;181467026;18400;-1;2269989;1500000
30.12.2020;183000000;183830002;182389999;183500000;181625397;17900;1;1440003;500000
31.12.2020;184470001;185000000;181050003;182990005;181120605;20800;-1;3949997;1479996
04.01.2021;183779999;183779999;179139999;180839996;178992569;84700;-1;4640000;2940003
05.01.2021;178240005;179199997;177630005;178720001;176894226;30100;1;1569992;479996
06.01.2021;178279999;180110001;178279999;179699997;177864212;23900;1;1830002;1419998
07.01.2021;180059998;180059998;176649994;178220001;176399338;24400;-1;3410004;1839997
08.01.2021;182740005;182740005;179190002;181070007;179220230;23200;-1;3550003;1669998
11.01.2021;176589996;178270004;176360001;177850006;176033127;21200;1;1910003;1260010
12.01.2021;176949997;176949997;175000000;175929993;174132721;30800;-1;1949997;1020004
13.01.2021;174990005;177580002;174139999;177509995;175696579;32600;1;3440003;2519990
14.01.2021;175970001;176759995;175610001;175770004;173974365;32800;-1;1149994;199997
15.01.2021;170330002;170990005;168460007;169869995;168134628;35400;-1;2529998;460007
19.01.2021;177490005;177490005;173509995;174300003;172519379;39000;-1;3980010;3190002
20.01.2021;174630005;174740005;172289993;173490005;171717667;93600;-1;2450012;1140000
21.01.2021;172880005;174190002;172380005;174179993;172400604;26400;1;1809997;1299988
22.01.2021;170250000;171020004;169179993;169699997;167966370;40300;-1;1840011;550003
25.01.2021;165229996;165250000;162759995;164600006;162918488;50500;-1;2490005;629990
26.01.2021;168679993;170029999;167630005;168910004;167184448;48800;1;2399994;230011
27.01.2021;160270004;165399994;160000000;163029999;161364517;79800;1;5399994;2759995
28.01.2021;161910004;162649994;160979996;160990005;159345367;81600;-1;1669998;919999
29.01.2021;159940002;160919998;158509995;159839996;158207092;27700;-1;2410003;100006
01.02.2021;162419998;164289993;162229996;164130005;162453278;38100;1;2059997;1710007
02.02.2021;166529999;168490005;166199997;168240005;166521301;36700;1;2290008;1710006
03.02.2021;165380005;167000000;164809998;167000000;165293961;33000;1;2190002;1619995
04.02.2021;163809998;166279999;163809998;164850006;163165924;24200;1;2470001;1040008
05.02.2021;166460007;168630005;166380005;168550003;166828125;28300;1;2250000;2089996
08.02.2021;170619995;170619995;167520004;169589996;167857498;176900;-1;3099991;1029999
09.02.2021;172220001;173119995;170669998;172960007;171193085;137600;1;2449997;740006
10.02.2021;173000000;173000000;169199997;169750000;168015869;27700;-1;3800003;3250000
11.02.2021;176509995;178309998;176509995;178190002;176369644;40400;1;1800003;1680007
12.02.2021;177880005;177880005;175679993;177080002;175270981;34100;-1;2200012;800003
16.02.2021;179289993;179289993;177639999;179179993;177349518;23400;-1;1649994;110000
17.02.2021;175550003;176500000;175000000;176500000;174696915;40100;1;1500000;949997
18.02.2021;174860001;175699997;174179993;174979996;173192429;29000;1;1520004;119995
19.02.2021;178149994;179970001;178000000;178020004;176201385;35500;-1;1970001;129990
22.02.2021;177990005;178199997;176729996;177440002;175627304;25900;-1;1470001;550003
23.02.2021;176089996;177369995;174139999;177070007;175261093;29800;1;3229996;980011
24.02.2021;175949997;176649994;174889999;176220001;174419769;22900;1;1759995;270004
25.02.2021;179919998;180250000;176270004;177520004;175706497;40800;-1;3979996;2399994
26.02.2021;177059998;177330002;174279999;175639999;173845688;67400;-1;3050003;1419999
01.03.2021;176669998;178220001;176279999;177570007;175755981;161900;1;1940002;900009
02.03.2021;175899994;176309998;174910004;176300003;174498947;113600;1;1399994;400009
03.03.2021;175179993;175710007;172860001;174479996;172697540;108700;-1;2850006;699997
04.03.2021;170360001;170990005;165710007;167110001;165402832;249500;-1;5279998;3250000
05.03.2021;166750000;167889999;161360001;163479996;161809921;694900;-1;6529998;3270004
08.03.2021;165600006;167179993;165389999;165979996;164284378;253200;1;1789994;379990
09.03.2021;168740005;169660004;163199997;163410004;161740631;241600;-1;6460007;5330001
10.03.2021;174820007;175410004;172119995;173160004;171391037;108400;-1;3290009;1660003
11.03.2021;178500000;180210007;178089996;179970001;178131454;25700;1;2120011;1470001
12.03.2021;177770004;180110001;177770004;180110001;178270035;29900;1;2339997;2339997
15.03.2021;175990005;176960007;174449997;174770004;172984589;44600;-1;2510010;1220001
16.03.2021;173229996;173350006;170860001;171639999;169886551;32200;-1;2490005;1589997
17.03.2021;169940002;172089996;169500000;172089996;170331955;29500;1;2589996;2149994
18.03.2021;170490005;172779999;170259995;170509995;168768097;20200;1;2520004;19990
19.03.2021;168259995;170270004;166039993;168160004;166442108;28300;-1;4230011;99991
22.03.2021;167350006;169320007;165600006;166600006;164898056;27100;-1;3720001;750000
23.03.2021;167660004;169130005;165979996;166889999;165185074;29300;-1;3150009;770005
24.03.2021;166889999;167500000;164020004;164330002;162651230;21500;-1;3479996;2559997
25.03.2021;157259995;157259995;153220001;155710007;154119308;116600;-1;4039994;1549988
26.03.2021;154529999;156350006;153179993;156070007;154475632;40900;1;3170013;1540008
29.03.2021;156070007;156470001;154889999;156300003;154703278;46400;1;1580002;229996
30.03.2021;154580002;156089996;154160004;155320007;153733292;46600;1;1929992;740005
31.03.2021;154940002;157179993;154940002;157009995;155406006;39500;1;2239991;2069993
01.04.2021;159149994;161220001;158139999;161220001;159573013;43700;1;3080002;2070007
05.04.2021;160649994;164440002;160550003;164279999;162601746;49500;1;3889999;3630005
06.04.2021;163080002;164419998;162570007;162889999;161225952;105600;-1;1849991;190003
07.04.2021;163160004;163970001;160580002;161539993;159889725;115200;-1;3389999;1620011
08.04.2021;164429993;166000000;164199997;164729996;163047150;28000;1;1800003;300003
09.04.2021;165410004;167229996;164509995;166830002;165125702;26300;1;2720001;1419998
12.04.2021;169029999;169350006;167580002;168720001;166996384;58200;-1;1770004;309998
13.04.2021;168500000;168979996;166789993;168259995;166541077;51900;-1;2190003;240005
14.04.2021;166139999;166889999;165300003;166000000;164304169;55500;-1;1589996;139999
15.04.2021;164250000;166649994;164149994;166649994;164947525;53500;1;2500000;2399994
16.04.2021;165619995;167029999;165169998;166899994;165194977;50000;1;1860001;1279999
19.04.2021;167160004;167830002;166380005;166949997;165244461;26100;-1;1449997;210007
20.04.2021;163169998;163779999;161500000;162910004;161245743;35300;-1;2279999;259994
21.04.2021;163509995;164360001;162889999;164360001;162680923;22900;1;1470002;850006
22.04.2021;163330002;163330002;161429993;162050003;160394531;38400;-1;1900009;1279999
23.04.2021;160000000;161600006;159369995;161360001;159711578;83300;1;2230011;1360001
26.04.2021;161139999;161740005;159759995;160070007;158434769;34300;-1;1980010;1069992
27.04.2021;160270004;160339996;158169998;159380005;157751801;27700;-1;2169998;889999
28.04.2021;157820007;158210007;155970001;157529999;155920700;42500;-1;2240006;290008
29.04.2021;159539993;159860001;157130005;158559998;156940170;25100;-1;2729996;979995
30.04.2021;157199997;157199997;154169998;154789993;153208679;25500;-1;3029999;2410004
03.05.2021;157190002;157990005;156199997;157899994;156286911;24200;1;1790008;709992
04.05.2021;152949997;154110001;150479996;153440002;151872482;32500;1;3630005;490005
05.05.2021;155809998;157009995;154820007;156869995;155267441;45700;1;2189988;1059997
06.05.2021;156130005;157860001;153399994;157860001;156247330;30900;1;4460007;1729996
07.05.2021;168830002;171779999;167509995;169839996;168104935;100100;1;4270004;1009994
10.05.2021;176460007;176910004;172949997;173059998;171292053;82400;-1;3960007;3400009
11.05.2021;173199997;174589996;171800003;174009995;172232346;46500;1;2789993;809998
12.05.2021;173830002;175389999;171919998;173750000;171975006;43500;-1;3470001;80002
13.05.2021;172669998;173679993;171720001;173639999;173639999;42400;1;1959992;970001
14.05.2021;175449997;176729996;173429993;176250000;176250000;190500;1;3300003;800003
17.05.2021;180360001;181889999;179360001;181539993;181539993;441600;1;2529998;1179992
18.05.2021;180800003;181100006;178389999;179100006;179100006;138800;-1;2710007;1699997
19.05.2021;178000000;180779999;177339996;179710007;179710007;44900;1;3440003;1710007
20.05.2021;181619995;183149994;181330002;182630005;182630005;53800;1;1819992;1010010
21.05.2021;184929993;184929993;183100006;183429993;183429993;40000;-1;1829987;1500000
24.05.2021;183750000;186809998;183500000;186679993;186679993;21000;1;3309998;2929993
25.05.2021;184720001;185610001;183009995;184000000;184000000;43000;-1;2600006;720001
26.05.2021;181160004;182380005;181039993;181600006;181600006;52500;1;1340012;440002
27.05.2021;180529999;182910004;180449997;182259995;182259995;146800;1;2460007;1729996
28.05.2021;181350006;183899994;181250000;183369995;183369995;182500;1;2649994;2019989
01.06.2021;181820007;183240005;181600006;182679993;182679993;183000;1;1639999;859986
02.06.2021;181669998;182679993;181080002;182179993;182179993;29300;1;1599991;509995
03.06.2021;180910004;182000000;180240005;181990005;181990005;47300;1;1759995;1080001
04.06.2021;181160004;181399994;180550003;181149994;181149994;40000;-1;849991;10010
07.06.2021;181330002;181889999;180899994;181440002;181440002;20300;1;990005;110000
08.06.2021;180960007;181449997;179490005;180419998;180419998;29200;-1;1959992;540009
09.06.2021;179580002;179990005;178330002;178929993;178929993;24000;-1;1660003;650009
10.06.2021;176949997;179210007;176949997;179000000;179000000;217200;1;2260010;2050003
11.06.2021;179570007;180080002;178309998;179250000;179250000;255600;-1;1770004;320007
14.06.2021;177729996;178889999;177729996;178669998;178669998;40900;1;1160003;940002
15.06.2021;177570007;178369995;176949997;177970001;177970001;47600;1;1419998;399994
16.06.2021;176300003;178250000;175919998;176380005;176380005;30800;1;2330002;80002
17.06.2021;174559998;175149994;173259995;174160004;174160004;34100;-1;1889999;399994
18.06.2021;171960007;172949997;169639999;171229996;171229996;141100;-1;3309998;730011
21.06.2021;172509995;173880005;171860001;173850006;173850006;183300;1;2020004;1340011
22.06.2021;172320007;174600006;171899994;174229996;174229996;57500;1;2700012;1909989
23.06.2021;174589996;175300003;173490005;174110001;174110001;33200;-1;1809998;479995
24.06.2021;174899994;175289993;174369995;175289993;175289993;35900;1;919998;389999
25.06.2021;184369995;185929993;184110001;185020004;185020004;98400;1;1819992;650009
28.06.2021;186110001;186300003;184369995;184970001;184970001;52100;-1;1930008;1140000
29.06.2021;188389999;189940002;188000000;189449997;189449997;50300;1;1940002;1059998
30.06.2021;185970001;187289993;185460007;186779999;186779999;39900;1;1829986;809998
01.07.2021;187740005;188190002;186000000;186750000;186750000;20000;-1;2190002;990005
02.07.2021;187550003;188649994;186449997;187690002;187690002;31500;1;2199997;139999
06.07.2021;185470001;185789993;184009995;185169998;185169998;26800;-1;1779998;300003
07.07.2021;188750000;189289993;187600006;188309998;188309998;20400;-1;1689987;440002
08.07.2021;185679993;187839996;183750000;187520004;187520004;31500;1;4089996;1840011
09.07.2021;187429993;189380005;187429993;189289993;189289993;18400;1;1950012;1860000
12.07.2021;190470001;191429993;190220001;190759995;190759995;16100;1;1209992;289994
13.07.2021;189449997;190169998;189000000;189490005;189490005;23000;1;1169998;40008
14.07.2021;189570007;191070007;189470001;190940002;190940002;25500;1;1600006;1369995
15.07.2021;187639999;188330002;185800003;186570007;186570007;45200;-1;2529999;1069992
16.07.2021;184250000;185720001;182500000;183399994;183399994;32500;-1;3220001;850006
19.07.2021;180149994;180750000;178839996;180630005;180630005;27800;1;1910004;480011
20.07.2021;179309998;181580002;178669998;181289993;181289993;75300;1;2910004;1979995
21.07.2021;181839996;183080002;181740005;183020004;183020004;43700;1;1339997;1180008
22.07.2021;183050003;184050003;182690002;183009995;183009995;62900;-1;1360001;40008
23.07.2021;185490005;187330002;184750000;187009995;187009995;36600;1;2580002;1519990
26.07.2021;185360001;185729996;184000000;184500000;184500000;27000;-1;1729996;860001
27.07.2021;184929993;184929993;182139999;183520004;183520004;24100;-1;2789994;1409989
28.07.2021;182479996;183460007;182029999;183119995;183119995;24400;1;1430008;639999
29.07.2021;183369995;183809998;182940002;183360001;183360001;20400;-1;869996;9994
30.07.2021;182669998;182669998;181570007;182050003;182050003;127100;-1;1099991;619995
02.08.2021;187110001;189330002;186940002;188160004;188160004;215000;1;2390000;1050003
03.08.2021;191740005;193020004;190240005;193009995;193009995;55400;1;2779999;1269990
04.08.2021;196679993;199440002;196279999;198679993;198679993;155700;1;3160003;2000000
05.08.2021;188809998;190550003;187600006;188500000;188500000;75000;-1;2949997;309998
06.08.2021;185470001;186369995;182800003;184000000;184000000;68000;-1;3569992;1470001
09.08.2021;185570007;186410004;184000000;184020004;184020004;30000;-1;2410004;1550003
10.08.2021;181550003;182059998;180600006;181500000;181500000;36200;-1;1459992;50003
11.08.2021;180929993;181440002;180279999;180750000;180750000;31800;-1;1160003;179993
12.08.2021;181600006;184979996;180979996;184529999;184529999;41600;1;4000000;2929993
13.08.2021;188699997;189029999;187470001;188389999;188389999;41600;-1;1559998;309998
16.08.2021;185220001;187009995;184029999;185330002;185330002;25100;1;2979996;110001
17.08.2021;183880005;184759995;181110001;181630005;181630005;131400;-1;3649994;2250000
18.08.2021;178720001;180589996;178419998;178949997;178949997;41900;1;2169998;229996
19.08.2021;177050003;178460007;176000000;177320007;177320007;123200;1;2460007;270004
20.08.2021;176710007;177339996;175910004;177160004;177160004;31500;1;1429992;449997
